video_name;fps;width;height;ocr_nth_frame
yc2zOWit2NQ;30;1280;720;10
AhdnshcDAdA;30;1280;720;10
yqOlY5uBBbo;25;1280;720;8
Ksya1BJtu4E;30;1280;720;10
ttYQhDbuHyU;29;1280;720;10
zpEPbl-4DaY;25;1280;720;8
E81fdaBKAqo;30;1280;720;10
ME2zyNBh3JM;29;1280;720;10
H0Pk2PGxEAo;30;1280;720;10
WAJJaqM9-B8;30;1280;720;10
_dRjY9gMcxE;30;1280;720;10
lU9D_e8tMv8;30;1280;720;10
oz1Mgu8e1N4;25;1280;720;8
XC5Wwmj3TqQ;30;1280;720;10
-QgaYMckEv4;30;1280;720;10
M8eq_kVGc1w;30;1280;720;10
zX4jjrvxqCc;29;1280;720;10
DYO5f8OH-Dc;29;1280;720;10
Kh8CI2QY9qY;30;1280;720;10
czcRxx3F-So;30;1280;720;10
hiyqF37j6rE;30;1280;720;10
qL25klznD14;30;1280;720;10
xT5wwwjEft8;23;1280;720;8
vzckCL12LwE;24;1280;720;8
-9rsxSevjM8;30;1280;720;10
1xE3lpCIgeI;29;1280;720;10
EVgeVtSyKyg;29;1280;720;10
oH_-TafghL8;30;1280;720;10
fHC_nQ_6Idk;30;1280;720;10
I4qqEznqRO8;30;1280;720;10
LlJLu4XltTE;24;1280;676;8
AWMpvQhFKzA;30;1280;720;10
HEUkbnS8UaQ;30;1280;720;10
oF7xld397ww;29;1280;720;10
WHJXB1u3zZc;30;1280;720;10
ajsGeMrAoPk;25;1280;720;8
CW_SFC6r4B4;24;1280;676;8
w7yTArIaI_g;30;1280;720;10
7nQSCreIGMI;30;1280;720;10
OUtYA5QwF1I;30;1280;720;10
dQ9atwc5va0;30;1280;720;10
6H3vaM2PgMU;29;1280;720;10
rKjsIzbEzcs;30;1280;720;10
PjqJg4O1PLQ;29;1280;720;10
3oR5TZfT4ZA;30;1280;720;10
Xi4EoivLsEI;30;1280;720;10
0-B5h_ZEvc8;30;1280;720;10
rXbEwj5utHQ;30;1280;720;10
1Sd1IJKFXzM;30;1280;720;10
Grb5Y9IQpLU;30;1280;720;10
wt8Efnzh7dY;29;1280;720;10
gvuXwrZrxqI;30;1280;720;10
4Lcgw9QDVc4;30;1280;720;10
gz_HbOwLkM0;30;1280;720;10
fD06SLX4WO4;30;1280;720;10
gSy5DdXm5Gg;29;1280;720;10
BB3g5K1-Axg;30;1280;720;10
pdA92i9QGPU;30;1280;720;10
aSsO8Aab26U;30;1280;720;10
8S2EyGoNHYw;29;1280;720;10
a47k7fBmTA0;24;1280;676;8
qh8xNjt9wMA;30;1280;720;10
c5EMxoYaEHA;30;1280;720;10
qvcpx9JviaQ;30;1280;720;10
1_XzrxXnwMM;25;1280;720;8
z6fs3esnA38;25;1280;720;8
Sf0775mMehg;30;1280;720;10
fi3Jms4QDLE;30;1280;720;10
WAmYjDIZ9gQ;30;1280;720;10
btCULdq5GDo;30;1280;720;10
Zd8LCQjFtsg;30;1280;720;10
VRnl9ubmM2I;30;1280;720;10
io98iEGJxoU;29;1280;720;10
qKulKgPIu7Y;24;1280;676;8
W5i0QdBlX1c;30;1280;720;10
riCTj3HzkNg;30;1280;720;10
6s0JhcWxNKU;29;1280;720;10
